"model","comparison","pval","W","comparison_difference"
"rangebagging / rangebagging","GAM",0.200719321033535,570,0.0393286898196966
"rangebagging / rangebagging","GLM",0.799536835434997,497,0.00390691392113418
"rangebagging / rangebagging","GLM unweighted",0.565538262597344,520,0.00937988499440356
"rangebagging / rangebagging","IWLR-GAM",0.369165785434133,543,0.0266499308703868
"rangebagging / rangebagging","IWLR-GLM",0.399951617101956,539,0.0182613388822832
"rangebagging / rangebagging","Lasso",0.483271445251852,529,0.0209573049019264
"rangebagging / rangebagging","MARS unweighted",0.064301027020219,610,0.0560742560381643
"rangebagging / rangebagging","MaxEnt",0.613935273411204,515,0.00759401127821235
"rangebagging / rangebagging","MaxEnt tuned2",0.465901146683855,531,0.0198655634960203
"rangebagging / rangebagging","MaxNet",0.613935273411204,515,0.00867020974975752
"rangebagging / rangebagging","RF",4.24307978200617e-05,759,0.127441687788685
"rangebagging / rangebagging","RF down-sampled",0.565538262597344,520,0.0218783169091934
"rangebagging / rangebagging","Ridge regression",0.407879191090454,538,0.0222136595211782
"rangebagging / rangebagging","SVM",0.0416118532065507,623,0.0793147699336091
"rangebagging / rangebagging","SVM weighted",0.457345852482468,532,0.0498784179882265
"rangebagging / rangebagging","XGBoost",0.111302719010432,592,0.0585573540699089
"rangebagging / gaussian","rangebagging / rangebagging",0.000273523034823194,201,-0.135772854460093
"rangebagging / gaussian","rangebagging / gaussian",1,450,0
"rangebagging / gaussian","rangebagging / kde",0.24781163968774,371,-0.0362559121112278
"rangebagging / gaussian","rangebagging / vine",0.808676121242807,467,0.0134907727501532
"rangebagging / gaussian","rangebagging / lobagoc",0.0155110431673641,287,-0.0901233266372637
"rangebagging / gaussian","gaussian / rangebagging",0.00523500370564183,294,-0.110367913387222
"rangebagging / gaussian","gaussian / gaussian",0.0196561705122437,326,-0.105733849662439
"rangebagging / gaussian","gaussian / kde",0.00116885701636774,263,-0.122147862652349
"rangebagging / gaussian","gaussian / vine",0.00743836249866046,302,-0.101137503119891
"rangebagging / gaussian","gaussian / lobagoc",0.0182101444084956,324,-0.0893700225882694
"rangebagging / gaussian","kde / rangebagging",0.00612844664013604,308,-0.118029933073212
"rangebagging / gaussian","kde / gaussian",0.0105309514906496,321,-0.112348588223086
"rangebagging / gaussian","kde / kde",0.00471712173007452,302,-0.120854516589641
"rangebagging / gaussian","kde / vine",0.00894805213733753,317,-0.111028680651284
"rangebagging / gaussian","kde / lobagoc",0.0235068892607908,342,-0.0917029897445382
"rangebagging / gaussian","vine / rangebagging",0.00398512963093349,288,-0.120771963292869
"rangebagging / gaussian","vine / gaussian",0.00346639671932222,285,-0.123902239343224
"rangebagging / gaussian","vine / kde",0.00330743625780013,284,-0.123835502909562
"rangebagging / gaussian","vine / vine",0.00500512419550058,293,-0.119305835055405
"rangebagging / gaussian","vine / lobagoc",0.0101138147887448,320,-0.0966217307657055
"rangebagging / gaussian","lobagoc / rangebagging",0.119357607015474,344,-0.0382470220143324
"rangebagging / gaussian","lobagoc / gaussian",0.0772801646761823,306,-0.0486640872584218
"rangebagging / gaussian","lobagoc / kde",0.125053065544786,358,-0.0406220329025697
"rangebagging / gaussian","lobagoc / vine",0.129943648009736,322,-0.0421614532798866
"rangebagging / gaussian","lobagoc / lobagoc",0.207942784467748,403,-0.0266799870213993
"rangebagging / gaussian","rangebagging / none",0.00210708742324752,245,-0.116943755044625
"rangebagging / gaussian","gaussian / none",0.00523500370564183,294,-0.110387162916845
"rangebagging / gaussian","kde / none",0.00612844664013604,308,-0.118048569616261
"rangebagging / gaussian","vine / none",0.00398512963093349,288,-0.120794793045731
"rangebagging / gaussian","lobagoc / none",0.0672412954085239,302,-0.0493970813200704
"rangebagging / gaussian","ulsif",0.00360299007595946,296,-0.111363418391902
"rangebagging / gaussian","rulsif",0.0034421638766455,295,-0.118839966306607
"rangebagging / gaussian","maxnet",0.0032877983525299,294,-0.141212271137298
"rangebagging / gaussian","biomod",0.0189212672667068,325,-0.111269899985991
"rangebagging / gaussian","BRT",0.0237098600806914,331,-0.10805322654535
"rangebagging / gaussian","cforest",0.314101124916041,421,-0.0569373357035953
"rangebagging / gaussian","cforest weighted",0.185495456670994,398,-0.0682367256131002
"rangebagging / gaussian","Ensemble",0.0113162694616787,312,-0.122280127074608
"rangebagging / gaussian","GAM",0.012275557060279,314,-0.0964441646403966
"rangebagging / gaussian","GLM",0.0048872575715567,290,-0.131865940538959
"rangebagging / gaussian","GLM unweighted",0.00330743625780013,284,-0.12639296946569
"rangebagging / gaussian","IWLR-GAM",0.00743836249866046,302,-0.109122923589706
"rangebagging / gaussian","IWLR-GLM",0.00547422196302137,295,-0.11751151557781
"rangebagging / gaussian","Lasso",0.0220099290859905,329,-0.114815549558167
"rangebagging / gaussian","MARS unweighted",0.0580906718055177,357,-0.0796985984219289
"rangebagging / gaussian","MaxEnt",0.00712427337115375,301,-0.128178843181881
"rangebagging / gaussian","MaxEnt tuned2",0.0155912022892802,320,-0.115907290964073
"rangebagging / gaussian","MaxNet",0.00457213640479108,291,-0.127102644710336
"rangebagging / gaussian","RF",0.875142255406917,483,-0.00833116667140776
"rangebagging / gaussian","RF down-sampled",0.0155912022892802,320,-0.1138945375509
"rangebagging / gaussian","Ridge regression",0.0127812563797213,315,-0.113559194938915
"rangebagging / gaussian","SVM",0.172079246993484,395,-0.0564580845264842
"rangebagging / gaussian","SVM weighted",0.0892918883523858,371,-0.0858944364718668
"rangebagging / gaussian","XGBoost",0.139816803891445,387,-0.0772155003901843
"rangebagging / kde","rangebagging / rangebagging",0.00133783785273208,227,-0.0995169423488654
"rangebagging / kde","rangebagging / gaussian",0.24781163968774,529,0.0362559121112278
"rangebagging / kde","rangebagging / kde",1,450,0
"rangebagging / kde","rangebagging / vine",0.122944608779972,555,0.049746684861381
"rangebagging / kde","rangebagging / lobagoc",0.0934970816706142,336,-0.0538674145260359
"rangebagging / kde","gaussian / rangebagging",0.0377209615113817,344,-0.0741120012759945
"rangebagging / kde","gaussian / gaussian",0.139816803891445,387,-0.0694779375512116
"rangebagging / kde","gaussian / kde",0.0100002115583005,309,-0.0858919505411216
"rangebagging / kde","gaussian / vine",0.0701497322389465,363,-0.0648815910086631
"rangebagging / kde","gaussian / lobagoc",0.0974581329015107,374,-0.0531141104770416
"rangebagging / kde","kde / rangebagging",0.0514456187021061,365,-0.0817740209619842
"rangebagging / kde","kde / gaussian",0.0640602952615867,372,-0.0760926761118578
"rangebagging / kde","kde / kde",0.0482436028839432,363,-0.0845986044784133
"rangebagging / kde","kde / vine",0.0660522455211283,373,-0.0747727685400559
"rangebagging / kde","kde / lobagoc",0.17326617509153,408,-0.0554470776333104
"rangebagging / kde","vine / rangebagging",0.0339875415654608,341,-0.084516051181641
"rangebagging / kde","vine / gaussian",0.0328143511927264,340,-0.0876463272319961
"rangebagging / kde","vine / kde",0.0264694668298433,334,-0.0875795907983339
"rangebagging / kde","vine / vine",0.0316754924174022,339,-0.0830499229441769
"rangebagging / kde","vine / lobagoc",0.0914507309569526,384,-0.0603658186544777
"rangebagging / kde","lobagoc / rangebagging",0.719148939608726,425,-0.00199110990310458
"rangebagging / kde","lobagoc / gaussian",0.572770402953248,383,-0.0124081751471939
"rangebagging / kde","lobagoc / kde",0.835504864099121,450,-0.00436612079134191
"rangebagging / kde","lobagoc / vine",0.798892776819039,403,-0.00590554116865882
"rangebagging / kde","lobagoc / lobagoc",0.994509714999899,496,0.00957592508982852
"rangebagging / kde","rangebagging / none",0.010501494914087,278,-0.0806878429333971
"rangebagging / kde","gaussian / none",0.0377209615113817,344,-0.0741312508056174
"rangebagging / kde","kde / none",0.0514456187021061,365,-0.0817926575050334
"rangebagging / kde","vine / none",0.0339875415654608,341,-0.0845388809345035
"rangebagging / kde","lobagoc / none",0.50134789212844,376,-0.0131411692088426
"rangebagging / kde","ulsif",0.0252622413321482,344,-0.0751075062806742
"rangebagging / kde","rulsif",0.0218568563945801,340,-0.0825840541953792
"rangebagging / kde","maxnet",0.0271281164705093,346,-0.10495635902607
"rangebagging / kde","biomod",0.15939233364266,392,-0.075013987874763
"rangebagging / kde","BRT",0.180941259252659,397,-0.0717973144341223
"rangebagging / kde","cforest",0.768904256452003,517,-0.0206814235923675
"rangebagging / kde","cforest weighted",0.811004977724872,477,-0.0319808135018724
"rangebagging / kde","Ensemble",0.0816781958952883,368,-0.08602421496338
"rangebagging / kde","GAM",0.0919513648605273,372,-0.0601882525291688
"rangebagging / kde","GLM",0.035840059033707,342,-0.0956100284277313
"rangebagging / kde","GLM unweighted",0.0274480655656945,335,-0.0901370573544619
"rangebagging / kde","IWLR-GAM",0.0580906718055177,357,-0.0728670114784786
"rangebagging / kde","IWLR-GLM",0.0403961269561903,346,-0.0812556034665822
"rangebagging / kde","Lasso",0.143578431227339,388,-0.0785596374469391
"rangebagging / kde","MARS unweighted",0.439493428564429,438,-0.0434426863107011
"rangebagging / kde","MaxEnt",0.0562563948446105,356,-0.0919229310706531
"rangebagging / kde","MaxEnt tuned2",0.106201324191191,377,-0.0796513788528451
"rangebagging / kde","MaxNet",0.0316754924174022,339,-0.0908467325991079
"rangebagging / kde","RF",0.172079246993484,595,0.02792474543982
"rangebagging / kde","RF down-sampled",0.103221328926723,376,-0.077638625439672
"rangebagging / kde","Ridge regression",0.0919513648605273,372,-0.0773032828276873
"rangebagging / kde","SVM",0.696885536464938,466,-0.0202021724152563
"rangebagging / kde","SVM weighted",0.282148620581639,416,-0.049638524360639
"rangebagging / kde","XGBoost",0.570415867815349,453,-0.0409595882789565
"rangebagging / vine","rangebagging / rangebagging",4.77603674452118e-05,176,-0.149263627210246
"rangebagging / vine","rangebagging / gaussian",0.808676121242807,433,-0.0134907727501532
"rangebagging / vine","rangebagging / kde",0.122944608779972,345,-0.049746684861381
"rangebagging / vine","rangebagging / vine",1,450,0
"rangebagging / vine","rangebagging / lobagoc",0.00550025982167328,264,-0.103614099387417
